Date,Close,High,Low,Open,Volume
2022-02-01,1097.77,1117.11,1083.19,1111.29,13200509
2022-02-02,1100.01,1110.83,1096.11,1110.83,10017691
2022-02-03,1085.79,1108.27,1083.23,1103.91,9572839
2022-02-04,1075.89,1083.81,1071.19,1080.37,11061241
2022-02-07,1069.34,1087.66,1063.76,1080.83,10714467
2022-02-08,1087.32,1089.14,1066.06,1075.59,12060849
2022-02-09,1099.98,1101.69,1088.22,1094.29,11486225
2022-02-10,1098.85,1105.62,1091.49,1105.62,12464491
2022-02-11,1096.71,1100.45,1081.8,1095.25,15943370
2022-02-14,1079.24,1086.81,1067.45,1080.03,10719633
2022-02-15,1115.88,1118.63,1077.93,1085.08,11212671
2022-02-16,1113.58,1122.83,1105.73,1121.44,10392840
2022-02-17,1127.67,1132.94,1112.21,1116.88,12853252
2022-02-18,1118.86,1133.63,1116.9,1128.09,6775458
2022-02-21,1107.55,1124.91,1100.49,1113.14,11107193
2022-02-22,1102.52,1105.71,1083.21,1085.86,13494914
2022-02-23,1095.62,1110.62,1092.83,1108.11,7310110
2022-02-24,1041.03,1079.86,1035.33,1063.76,24846650
2022-02-25,1054.04,1065.12,1050.49,1052.27,14570089
2022-02-28,1088.93,1092.53,1035.14,1035.14,21297446
2022-03-02,1106.93,1108.06,1074.93,1077.35,21471786
2022-03-03,1097.59,1114.45,1093.78,1107.6,10186748
2022-03-04,1073.24,1091.12,1070.84,1085.91,10805667
2022-03-07,1033.55,1067.03,1025.45,1051.62,17983310
2022-03-08,1031.68,1036.53,1006.07,1020.61,21289374
2022-03-09,1086.42,1092.37,1031.06,1031.91,20414228
2022-03-10,1104.02,1109.91,1089.14,1107.6,17980493
2022-03-11,1107.21,1112.68,1096.55,1096.55,12257423
2022-03-14,1116.3,1118.86,1095.6,1101.55,8340678
2022-03-15,1090.73,1120.5,1080.3,1120.5,15925769
2022-03-16,1109.15,1111.25,1097.03,1099.29,11149828
2022-03-17,1145.3,1152.55,1114.57,1122.71,21422098
2022-03-21,1138.7,1146.37,1125.6,1127.91,11999466
2022-03-22,1168.13,1169.88,1132.34,1135.34,22557065
2022-03-23,1171.84,1183.68,1164.36,1164.36,15462187
2022-03-24,1190.05,1192.58,1158.36,1158.36,13168266
2022-03-25,1197.98,1207.28,1189.29,1191.82,14222488
2022-03-28,1210.03,1213.63,1193.67,1204.51,9891424
2022-03-29,1210.31,1217.44,1203.31,1217.44,8684065
2022-03-30,1233.57,1240.51,1207.79,1218.31,15811550
2022-03-31,1215.94,1232.07,1213.1,1229.87,13223718
2022-04-01,1225.67,1229.97,1210.05,1216.51,7922880
2022-04-04,1229.3,1234.51,1219.12,1225.49,7929162
2022-04-05,1211.92,1232.16,1209.45,1223.48,13149870
2022-04-06,1208.69,1215.82,1193.95,1193.95,12257215
2022-04-07,1187.37,1202.67,1184.67,1197.64,15496499
2022-04-08,1207.12,1211.44,1181.44,1181.44,15152495
2022-04-11,1204.61,1217.69,1192.05,1199.9,9254209
2022-04-12,1181.92,1201.1,1179.32,1193.9,13217742
2022-04-13,1177.59,1196.48,1174.75,1188.13,10354235
2022-04-18,1173.99,1181.35,1163.81,1168.98,9974224
2022-04-19,1218.73,1231.28,1177.31,1180.52,26141820
2022-04-20,1254.56,1261.74,1222.56,1226.25,25072240
2022-04-21,1283.94,1287.12,1260.82,1269.54,21708633
2022-04-22,1273.19,1293.12,1266.45,1273.23,15054154
2022-04-25,1243.74,1273.0,1229.27,1265.62,17063215
2022-04-26,1280.96,1289.89,1249.6,1250.66,12227666
2022-04-27,1282.21,1305.12,1271.46,1271.82,19338945
